Filename, MSE, MAE, PSNR
scarf128_canny_50_60_0.123_rec.pgm, 105.4324, 126.3080, 27.9011
scarf128_canny_60_70_0.115_rec.pgm, 105.3659, 127.5611, 27.9038
scarf128_canny_100_110_5_0.188_rec.pgm, 105.8882, 126.1427, 27.8823
scarf128_canny_150_160_0.144_rec.pgm, 105.4046, 125.3878, 27.9022
scarf128_canny_140_150_5_0.181_rec.pgm, 105.7301, 126.2043, 27.8888
scarf128_canny_70_80_0.108_rec.pgm, 104.8916, 127.9336, 27.9234
scarf128_canny_170_180_5_0.173_rec.pgm, 105.4050, 126.1702, 27.9022
scarf128_canny_60_70_5_0.194_rec.pgm, 105.7529, 126.1733, 27.8879
scarf128_b7_a5_50_100_0.15_rec.pgm, 105.3865, 125.3713, 27.9030
